store_id,name,street,city,state,zip_code,phone,category
1M1KC,Cubbys,416 Chad Road Apt. 012,Andrews,NC,28901,654.061.7987x453,"Baby Care, Meat & Seafood, Personal Care & Health, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Fruits & Vegetables, Pet Care"
1NXB6,Sheetz,31396 Meyer Flat,Newaygo,MI,49337,013-530-0677x205,"Bread & Bakery, Breakfast & Cereal, Condiments & Spice & Bake, Deli, Pet Care, Dairy & Eggs & Cheese, Frozen Foods, Personal Care & Health"
1O3SE,Jim's Quick Stop,8473 Johnson Heights Suite 700,Ridgway,CO,81432,(567)713-0327,"Baby Care, Bread & Bakery, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Fruits & Vegetables, Pet Care, Beverages, Breakfast & Cereal, Dairy & Eggs & Cheese, Meat & Seafood"
1RMM5,Dandy Mini Mart,45651 Garcia Mill,Ripon,WI,54971,001-948-229-6396x769,"Condiments & Spice & Bake, Cookies & Snacks & Candy, Fruits & Vegetables, Personal Care & Health, Baby Care, Dairy & Eggs & Cheese, Deli"
1RMXY,Cubbys,551 Jones Groves Suite 664,Dahinda,IL,61428,(246)575-8628x24563,"Condiments & Spice & Bake, Dairy & Eggs & Cheese, Fruits & Vegetables, Personal Care & Health, Pet Care, Canned Goods & Soups, Cookies & Snacks & Candy, Deli, Frozen Foods, Grains & Pasta & Sides, Paper & Cleaning & Home"
1TSFX,Cefco,560 Harris Camp,Kane,IL,62054,001-912-819-3764x289,"Beverages, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Meat & Seafood, Paper & Cleaning & Home, Pet Care, Baby Care, Deli, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health"
1U31K,Sheetz,3588 Daryl Forest Apt. 908,Washington,DC,20240,001-663-144-0879,"Baby Care, Cookies & Snacks & Candy, Condiments & Spice & Bake, Paper & Cleaning & Home"
1ZTDE,Beasley Enterprises Inc,183 Kyle Union Suite 467,Carversville,PA,18913,001-809-731-2257x714,"Beverages, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Personal Care & Health, Pet Care, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home"
27I5T,Jim's Quick Stop,5814 Robinson Pines Suite 993,Lidgerwood,ND,58053,(413)632-6513x102,"Breakfast & Cereal, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Pet Care, Condiments & Spice & Bake"
28JE8,Baum's Mercantile,243 Powell Rest Apt. 921,Lawrenceburg,TN,38464,515985005,"Baby Care, Beverages, Bread & Bakery, Canned Goods & Soups, Cookies & Snacks & Candy, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Pet Care, Dairy & Eggs & Cheese, Deli, Fruits & Vegetables, Paper & Cleaning & Home, Personal Care & Health"
2AKCB,Plaid Pantry,2134 Kennedy Haven Apt. 381,Rural Hall,NC,27094,748.585.2448x7085,"Baby Care, Beverages, Canned Goods & Soups, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Personal Care & Health, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Frozen Foods"
2ED08,Simonson Market,448 Jason Ways Apt. 179,Oswego,KS,67356,001-727-421-7583x861,"Baby Care, Dairy & Eggs & Cheese, Deli, Frozen Foods, Bread & Bakery, Condiments & Spice & Bake, Paper & Cleaning & Home"
2IMPZ,Maay Convenient Inc,317 Luis Ramp,Fort Benning,GA,31995,704.061.2698x86684,"Beverages, Bread & Bakery, Canned Goods & Soups, Pet Care"
2K77Q,Stripes Llc,86168 Caleb Way,Milledgeville,IL,61051,4005598880,"Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health, Baby Care, Dairy & Eggs & Cheese, Deli, Frozen Foods, Paper & Cleaning & Home, Pet Care"
2LJYP,Super Quik Inc,41375 Caitlin Lodge,Warren,OR,97053,(449)800-1043x386,"Baby Care, Bread & Bakery, Canned Goods & Soups, Fruits & Vegetables, Grains & Pasta & Sides, Pet Care"
2TM62,Fasmart,88606 White Extension Apt. 065,Richmond,VA,23237,-10327,"Baby Care, Breakfast & Cereal, Canned Goods & Soups, Deli, Grains & Pasta & Sides, Pet Care"
2TUXA,Machias Mainway,85395 Shaun Center Apt. 847,Ropesville,TX,79358,895.942.1446x7232,"Cookies & Snacks & Candy, Pet Care, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health"
2XQ8U,Super Quik Inc,31742 Rachael Field,Mount Vernon,OH,43050,+1-064-138-8538x0665,"Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Dairy & Eggs & Cheese, Frozen Foods, Grains & Pasta & Sides, Pet Care, Baby Care, Beverages, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Fruits & Vegetables, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health"
2Y0J2,Cubbys,1339 Burke Plaza,Murfreesboro,NC,27855,+1-223-717-8323x6138,"Baby Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Frozen Foods, Personal Care & Health, Dairy & Eggs & Cheese, Meat & Seafood, Paper & Cleaning & Home"
2YR0H,Cubbys,82043 Stephanie Curve Suite 506,University Park,PA,16802,(115)068-1640x075,"Breakfast & Cereal, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Fruits & Vegetables, Beverages, Canned Goods & Soups, Cookies & Snacks & Candy, Meat & Seafood, Personal Care & Health"
2YRRD,Mapco,356 David Mill,Britton,SD,57430,753.058.8874,"Baby Care, Grains & Pasta & Sides, Beverages, Canned Goods & Soups, Meat & Seafood"
32YZ9,Plaid Pantries Inc,975 Smith Mountain,Mountain View,HI,96771,512.665.4792,"Canned Goods & Soups, Condiments & Spice & Bake, Grains & Pasta & Sides, Baby Care, Frozen Foods, Pet Care"
34KK0,Fasmart,730 John Port,Gate City,VA,24251,(118)517-1306x7618,"Baby Care, Bread & Bakery, Deli, Canned Goods & Soups, Frozen Foods"
36BGX,7-Eleven,000 White Union Apt. 898,Leeds,ND,58346,(387)799-6166x65661,"Baby Care, Bread & Bakery, Canned Goods & Soups"
3HM75,Express Mart Stores,2796 Anne Walk,Somerset,PA,15510,330.217.2474x2052,"Baby Care, Canned Goods & Soups, Grains & Pasta & Sides, Paper & Cleaning & Home, Pet Care, Breakfast & Cereal, Dairy & Eggs & Cheese, Frozen Foods, Personal Care & Health"
3II5S,Stripes Llc,699 Raymond Prairie,Acton,CA,93510,(515)580-7978x63261,"Bread & Bakery, Grains & Pasta & Sides, Dairy & Eggs & Cheese"
3L5CM,Mapco,63954 Taylor Club Suite 170,Moretown,VT,5660,+1-711-099-9130x6407,"Beverages, Condiments & Spice & Bake, Cookies & Snacks & Candy, Paper & Cleaning & Home, Baby Care, Breakfast & Cereal, Canned Goods & Soups, Meat & Seafood, Personal Care & Health"
3MGOV,Dandy Mini Mart,940 William Ramp Apt. 539,Minneapolis,MN,55444,423-876-7140,"Beverages, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Baby Care, Bread & Bakery, Breakfast & Cereal, Fruits & Vegetables, Personal Care & Health, Pet Care"
3PQ8F,Mapco,63434 Danielle View Apt. 464,Arroyo Grande,CA,93421,272.351.4940x0757,"Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Deli, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Personal Care & Health, Cookies & Snacks & Candy, Paper & Cleaning & Home"
3S8EB,Maay Convenient Inc,17602 Benjamin Mission Apt. 327,Hudson,OH,44236,001-416-456-4338x292,"Bread & Bakery, Breakfast & Cereal, Cookies & Snacks & Candy, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Baby Care, Beverages, Dairy & Eggs & Cheese, Deli, Frozen Foods, Fruits & Vegetables, Pet Care"
3SYPO,Stripes Llc,017 Taylor Summit Suite 503,Tampa,FL,33682,(900)213-1598x55086,"Canned Goods & Soups, Fruits & Vegetables, Personal Care & Health, Pet Care"
3T1TP,Irving Oil Corp,20630 Blackburn Islands,Lisbon,NY,13658,(240)467-8895x0797,"Canned Goods & Soups, Cookies & Snacks & Candy, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Baby Care, Beverages, Bread & Bakery, Breakfast & Cereal, Deli, Personal Care & Health"
3W6UE,Baum's Mercantile,9854 Michael Brook,Burnside,IA,50521,6928908591,"Baby Care, Beverages, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Pet Care, Bread & Bakery"
3WGHH,Plaid Pantries Inc,416 Turner Stream,Brookeville,MD,20833,762-773-8453x8877,"Baby Care, Paper & Cleaning & Home, Personal Care & Health, Pet Care, Beverages, Bread & Bakery, Breakfast & Cereal, Dairy & Eggs & Cheese, Deli, Grains & Pasta & Sides, Meat & Seafood"
3XUGZ,Super Quik Inc,61396 Hansen Dale Apt. 063,Glencoe,KY,41046,4549255712,"Baby Care, Canned Goods & Soups, Dairy & Eggs & Cheese, Grains & Pasta & Sides, Personal Care & Health, Cookies & Snacks & Candy, Paper & Cleaning & Home, Pet Care"
48V79,Sheetz,7258 Taylor Loaf,Empire,CO,80438,410-010-0307,"Baby Care, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Paper & Cleaning & Home, Personal Care & Health"
49TNX,Irving Oil Corp,88306 Santiago Course,Lady Lake,FL,32158,135.620.2173x4045,"Beverages, Bread & Bakery, Deli, Frozen Foods, Meat & Seafood, Pet Care, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health"
4AOVR,Dandy Mini Mart,21305 Elizabeth Heights,West Willow,PA,17583,+1-804-215-3480x417,"Beverages, Bread & Bakery, Dairy & Eggs & Cheese, Deli, Personal Care & Health, Baby Care, Breakfast & Cereal, Condiments & Spice & Bake, Frozen Foods, Meat & Seafood, Paper & Cleaning & Home"
4CZ4G,Hillcrest,0039 Jesus Drives,Tomkins Cove,NY,10986,059-445-7013x287,"Breakfast & Cereal, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health, Pet Care, Baby Care, Bread & Bakery, Canned Goods & Soups, Frozen Foods, Meat & Seafood, Paper & Cleaning & Home"
4FJF2,Maay Convenient Inc,5911 Castillo Stream Apt. 808,Lake Charles,LA,70612,011.055.2057,"Beverages, Bread & Bakery, Dairy & Eggs & Cheese, Cookies & Snacks & Candy, Meat & Seafood"
4SM88,Irving Oil Corp,0220 Stanton Bridge Suite 926,Merced,CA,95341,001-991-137-2072x991,"Baby Care, Breakfast & Cereal, Condiments & Spice & Bake, Deli, Frozen Foods, Grains & Pasta & Sides, Personal Care & Health, Pet Care, Beverages, Bread & Bakery, Canned Goods & Soups, Cookies & Snacks & Candy, Meat & Seafood, Paper & Cleaning & Home"
4SRHC,Pump-N-Pantry Of NY,2500 Newman Heights Suite 068,Caledonia,MN,55921,(573)772-3503x5172,"Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Dairy & Eggs & Cheese, Deli, Frozen Foods, Personal Care & Health, Baby Care, Beverages, Condiments & Spice & Bake, Cookies & Snacks & Candy, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Pet Care"
4WSHA,Simonson Market,259 Wilkinson Lights Suite 827,Morton,PA,19070,473-124-0702,"Beverages, Deli, Meat & Seafood, Canned Goods & Soups, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Pet Care"
54BW4,Jackson Food Store,2514 Moss Port,Charlotte,NC,28221,717.333.8225,"Baby Care, Breakfast & Cereal, Canned Goods & Soups, Meat & Seafood, Beverages, Cookies & Snacks & Candy, Frozen Foods, Fruits & Vegetables"
596YT,Sheetz,42087 Shelley Course Apt. 918,New Orleans,LA,70145,469-655-7181,"Baby Care, Deli, Cookies & Snacks & Candy, Fruits & Vegetables"
5INB7,Pit Row,9916 Brian Court Apt. 221,Tigrett,TN,38070,(345)684-3959,"Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Pet Care, Baby Care, Beverages, Bread & Bakery, Condiments & Spice & Bake, Fruits & Vegetables"
5LHF9,Casey's Cove Convenience Store,29683 Drake Harbor,Bloomington,WI,53804,001-734-879-4294x812,"Baby Care, Bread & Bakery, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Fruits & Vegetables, Paper & Cleaning & Home, Personal Care & Health, Breakfast & Cereal, Canned Goods & Soups, Deli, Meat & Seafood, Pet Care"
5ORB8,Victory Marketing Llc,0389 Edwards Falls,Esmond,ND,58332,001-355-354-7400,"Baby Care, Grains & Pasta & Sides, Bread & Bakery, Breakfast & Cereal, Meat & Seafood, Personal Care & Health"
631TS,Border Station,83988 Lopez Ferry Apt. 774,Hyattsville,MD,20784,001-809-682-6638,"Beverages, Breakfast & Cereal, Canned Goods & Soups, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Personal Care & Health, Pet Care"
6BT2B,Cefco,1954 Davis Isle,Wendell,MA,1379,001-566-837-0795x537,"Beverages, Deli, Fruits & Vegetables, Meat & Seafood, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Paper & Cleaning & Home"
6CH7I,Mapco Express,355 Hall Mountain,Port Richey,FL,34673,149.652.4863,"Baby Care, Beverages, Canned Goods & Soups"
6D1CD,Rutters Farm Store,82452 Heather Cove Apt. 928,Lime Springs,IA,52155,+1-917-370-1278x2301,"Condiments & Spice & Bake, Cookies & Snacks & Candy, Fruits & Vegetables, Pet Care, Beverages, Canned Goods & Soups, Dairy & Eggs & Cheese, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home"
6DT5L,Victory Marketing Llc,01442 John Fields Apt. 326,Evant,TX,76525,837-707-8300x743,"Dairy & Eggs & Cheese, Frozen Foods, Meat & Seafood, Canned Goods & Soups"
6I2R7,Simonson Market,4311 Michael Radial Apt. 479,Lyndhurst,VA,22952,+1-063-985-3149x0839,"Baby Care, Frozen Foods, Fruits & Vegetables, Meat & Seafood, Beverages, Bread & Bakery, Breakfast & Cereal, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Pet Care"
6J0JD,Express Mart Stores,21061 Brittany Heights,Columbus,GA,31993,+1-503-291-8464x1272,"Beverages, Breakfast & Cereal, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Deli, Meat & Seafood, Paper & Cleaning & Home, Canned Goods & Soups, Frozen Foods"
6KNFC,Rutters Farm Store,2383 Gutierrez Lakes Suite 226,New Enterprise,PA,16664,001-981-366-8830x262,"Baby Care, Canned Goods & Soups, Dairy & Eggs & Cheese, Deli, Frozen Foods, Personal Care & Health, Bread & Bakery, Breakfast & Cereal, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Pet Care"
6Q67U,Beasley Enterprises Inc,8986 Linda Land,Beeville,TX,78102,822.225.5443,"Baby Care, Beverages, Canned Goods & Soups, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Bread & Bakery, Breakfast & Cereal, Condiments & Spice & Bake, Deli, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Pet Care"
6QSXS,6-Twelve Convenient-Mart Inc,0066 Scott Port Suite 610,Mound Valley,KS,67354,(873)572-0981x9534,"Canned Goods & Soups, Cookies & Snacks & Candy, Deli, Personal Care & Health, Pet Care, Dairy & Eggs & Cheese, Grains & Pasta & Sides, Paper & Cleaning & Home"
6UMFQ,Dandy Mini Mart,186 Dixon Way,Jellico,TN,37762,233-760-7978x964,"Baby Care, Fruits & Vegetables, Pet Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Paper & Cleaning & Home"
70GOX,Spaceway Oil CO,5396 Chelsea Flat Apt. 623,Montgomery,TX,77316,001-738-458-7037x652,"Beverages, Condiments & Spice & Bake, Fruits & Vegetables, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health, Pet Care, Baby Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Deli"
717T9,Casey's Cove Convenience Store,9068 Gutierrez Hill Suite 427,Woodinville,WA,98072,-3150,"Canned Goods & Soups, Dairy & Eggs & Cheese, Deli, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Pet Care, Bread & Bakery, Breakfast & Cereal, Condiments & Spice & Bake, Cookies & Snacks & Candy, Frozen Foods"
72SK6,Rutters Farm Store,2392 Gomez Union Suite 448,Beaver,WA,98305,(805)435-5163x293,"Canned Goods & Soups, Dairy & Eggs & Cheese, Frozen Foods, Fruits & Vegetables, Meat & Seafood, Paper & Cleaning & Home, Pet Care, Bread & Bakery, Breakfast & Cereal, Cookies & Snacks & Candy, Deli, Personal Care & Health"
74JM7,Dandy Mini Mart,97625 Aimee Lakes,Thawville,IL,60968,+1-547-704-1258x046,"Condiments & Spice & Bake, Dairy & Eggs & Cheese, Fruits & Vegetables, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Cookies & Snacks & Candy, Frozen Foods, Pet Care"
75EWH,Maay Convenient Inc,92266 Rojas Freeway,Culbertson,MT,59218,001-182-154-0793x035,"Baby Care, Beverages, Bread & Bakery, Canned Goods & Soups, Condiments & Spice & Bake, Dairy & Eggs & Cheese, Deli, Frozen Foods, Fruits & Vegetables, Meat & Seafood, Paper & Cleaning & Home, Cookies & Snacks & Candy, Grains & Pasta & Sides, Personal Care & Health, Pet Care"
78UQA,6-Twelve Convenient-Mart Inc,5545 Peck Grove,Lakeshore,FL,33854,+1-665-405-2024x031,"Bread & Bakery, Canned Goods & Soups, Deli, Frozen Foods, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health, Baby Care, Beverages, Cookies & Snacks & Candy, Grains & Pasta & Sides, Pet Care"
792C7,6-Twelve Convenient-Mart Inc,975 Richard Stream,Columbus,OH,43240,(749)760-1721,"Baby Care, Bread & Bakery, Cookies & Snacks & Candy, Deli, Fruits & Vegetables, Paper & Cleaning & Home, Pet Care"
7ASSJ,Plaid Pantries Inc,7343 Michael Bypass,Charlotte,NC,28216,036.698.9480,"Bread & Bakery, Meat & Seafood, Paper & Cleaning & Home, Baby Care, Beverages, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health, Pet Care"
7IEJT,Quick Chek Food Stores,053 Larry Corners,Vicksburg,MS,39180,+1-053-170-0305x6815,"Beverages, Breakfast & Cereal, Frozen Foods, Fruits & Vegetables, Pet Care, Baby Care, Bread & Bakery, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Deli, Meat & Seafood, Personal Care & Health"
7LKQH,Quick Chek Food Stores,70295 Richardson Curve Apt. 891,Mena,AR,71953,655-773-1754x2406,"Beverages, Cookies & Snacks & Candy, Paper & Cleaning & Home, Personal Care & Health, Canned Goods & Soups, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides"
7N4UM,Popeye Shell Superstop,9683 Perez Forest Suite 618,Sheffield,IA,50475,9856872835,"Baby Care, Condiments & Spice & Bake, Meat & Seafood, Personal Care & Health, Pet Care"
7NOQY,Elnemr Enterprises Inc,267 Young Trail Suite 076,Tiller,OR,97484,6403267966,"Beverages, Bread & Bakery, Breakfast & Cereal, Dairy & Eggs & Cheese, Frozen Foods, Personal Care & Health, Pet Care"
7O7TI,Cefco,459 Bentley Station Apt. 392,Graytown,OH,43432,+1-300-611-7228x7236,"Beverages, Canned Goods & Soups, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Meat & Seafood, Grains & Pasta & Sides, Pet Care"
7PSYZ,Stripes Llc,1625 Hernandez Pike,Hollywood,FL,33021,162-161-9446,"Beverages, Breakfast & Cereal, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Fruits & Vegetables, Personal Care & Health, Baby Care, Bread & Bakery, Canned Goods & Soups, Meat & Seafood, Paper & Cleaning & Home, Pet Care"
7RAE8,Sheetz,484 Ayala Union Apt. 596,Pamplin,VA,23958,001-449-1915,"Bread & Bakery, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Meat & Seafood, Baby Care, Breakfast & Cereal, Fruits & Vegetables, Grains & Pasta & Sides, Paper & Cleaning & Home, Personal Care & Health"
7SDSK,Rutters Farm Store,6013 Sanders Square Suite 839,Columbia,MD,21044,072.994.5697,"Baby Care, Beverages, Condiments & Spice & Bake, Frozen Foods, Fruits & Vegetables, Grains & Pasta & Sides, Pet Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Dairy & Eggs & Cheese, Deli, Meat & Seafood"
7X8FT,Wesco Oil CO,37134 Kenneth Extensions,Bustins Island,ME,4013,(502)316-5704,"Breakfast & Cereal, Canned Goods & Soups, Cookies & Snacks & Candy, Pet Care, Paper & Cleaning & Home"
7ZMG0,Cefco,23562 Sutton Harbor,Orlean,VA,20128,(873)179-5772x930,"Baby Care, Breakfast & Cereal, Canned Goods & Soups, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Pet Care"
863SW,Plaid Pantry,77129 Lauren Shore Suite 242,San Pedro,CA,90733,7013835328,"Beverages, Frozen Foods, Meat & Seafood, Bread & Bakery, Grains & Pasta & Sides"
8J54U,Baum's Mercantile,217 Clinton Valleys,Porter,ME,4068,385-144-7393x8223,"Bread & Bakery, Canned Goods & Soups, Dairy & Eggs & Cheese, Fruits & Vegetables, Grains & Pasta & Sides, Personal Care & Health"
8L32G,Cracker Barrel Stores Inc,054 Elizabeth Garden Suite 034,Chula Vista,CA,91909,001-834-401-5101x615,"Baby Care, Bread & Bakery, Breakfast & Cereal, Canned Goods & Soups, Fruits & Vegetables, Paper & Cleaning & Home, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Frozen Foods, Grains & Pasta & Sides, Personal Care & Health, Pet Care"
8MR06,Stripes Llc,66146 Rogers Square Apt. 878,Finley,ND,58230,877-949-7528x0095,"Beverages, Breakfast & Cereal, Canned Goods & Soups, Condiments & Spice & Bake, Cookies & Snacks & Candy, Dairy & Eggs & Cheese, Deli, Frozen Foods, Grains & Pasta & Sides, Meat & Seafood, Paper & Cleaning & Home, Personal Care & Health"
