item_id,qty,selling_price,order_id,product_id
KL2OG,6,5.19,JXKJ7,TTMTO
FRCEX,10,3.37,HFU9Y,ZVH2Z
KJ5WQ,7,6.15,HFU9Y,43CM8
REG0C,7,6.9,P3KVW,W5ZXA
379P5,1,5.22,P3KVW,4VJIT
WBRR0,4,9.52,P3KVW,SSYOY
Z0H08,9,2.83,TQX73,QXODP
9AERO,5,5.25,TQX73,XY91U
8QIR0,7,6.98,TQX73,90N22
FOF5A,9,2.38,TQX73,NEUMF
IT9EV,3,1.36,PM8N0,GMGO5
47EXC,9,3.12,HSXSD,4OQJ1
VH37F,6,3.23,HSXSD,IW939
JPF5N,9,1.81,HKMKX,G3K37
0RKA9,8,9.41,HKMKX,PCJUY
8XRD9,4,6.65,HKMKX,LOXVO
A6921,2,6.63,RMLWG,BZJNQ
I332T,1,2.61,ERKIE,K4FZ5
HPJSO,6,19.03,0IHSS,9S30I
OPLWV,3,6.7,L3O4K,P54TQ
7NB3O,6,2.19,TYCCJ,58PB2
GJGA3,8,13.21,Q756A,RNRSP
TGXK8,2,2.42,J0N96,B80N7
TITAR,5,4.37,DMYHB,FA3EA
Y1KPX,1,20.21,I7GN4,04SGA
6SU2B,6,4.01,TDDUV,XY91U
VSKRI,3,4.29,TDDUV,WDQ7E
UNT83,5,35.86,TDDUV,8IDLX
ZFEEV,2,4.71,WBTS4,4P6ZD
IA5AC,4,3.02,BQPBC,V3YP8
PVKCY,1,12.55,TPYE5,65SEG
LOHFN,10,5.23,YZVN9,3E00S
CQFCR,5,9.74,YZVN9,DVJHC
Q8JL2,1,5.62,72UWS,6WLH2
F1Y9Q,7,8.11,5DDJD,W4HR9
SLW9S,3,0.99,5DDJD,CHIV4
KJCUV,9,8.71,BKXIB,5UAAH
O19YO,1,4.78,BKXIB,OBM5O
YGMIX,7,23.05,ZFD26,9DA7J
40OWE,3,6.26,ZFD26,WU6SK
390DB,2,1.09,ZFD26,DMNTR
3WBF7,5,2.34,SAOZN,G3K37
TOBDF,3,2.17,QQ0OX,73MZ9
97KTH,3,1.7,536TM,XZVBW
0NU8Z,3,8.21,M2OIA,GW6ZI
MU17K,6,14.51,125PT,Y5ZMA
28P1O,9,7.35,PV57G,ALCBL
PYWGV,5,1.61,M5Q0J,KB856
TZCPD,6,4.84,RQNAO,CXV5D
EZ5IB,3,7.28,RQNAO,M3QZZ
HEIMQ,3,4.5,NVLON,OBM5O
9KOH6,6,1.18,NVLON,GMGO5
J7Y2A,5,2.74,DFV5H,G3K37
HHFG5,1,11.27,NB810,33ZMJ
VXGWE,7,7.1,PXTCI,LLO6D
YBT5T,5,4.11,S7PQV,YDQ0J
ZNIAS,10,5.03,CJQ26,05V84
KOJDM,4,5.76,CJQ26,CNPR0
V9WOD,7,2.9,EYZL4,3B6O6
BAH26,4,0.99,31J8U,5LJYY
82CXB,7,3.96,31J8U,LBLB7
TLLC3,7,4.84,VZQY9,I06B8
51QL5,10,29.7,VR8X3,Y7KB7
KNXID,9,4.65,LV1CZ,8CA8L
4IOHE,8,8.73,D746A,SCJ09
DI0DG,5,5.85,D746A,WDQ7E
43EJS,10,1.01,D746A,GMGO5
VLBOA,3,5.37,LZ2CV,IRG32
T0ADH,4,2.79,LZ2CV,DMNTR
NBDOZ,5,16.43,50M0F,ALCBL
IYHUC,7,2.35,LN1G7,Q7BWL
DNQ25,4,2.1,LN1G7,4PJKU
820Q9,5,3.96,SW00U,U9UKN
LRP1M,5,3.11,3TIMJ,L4H3G
KFJJE,8,5.3,A63YO,WEBBJ
JEJYV,3,4.71,A63YO,OVMCR
D46I2,8,4.96,A63YO,3CSM5
VKS8U,9,1.64,N0QM8,J9Q60
ROTH9,7,3.01,ED8YQ,P47CN
B0FWU,6,4.47,ED8YQ,O64TP
4GVYN,5,4.27,ED8YQ,2SF9G
QGYK9,9,7.27,ED8YQ,ES2L3
3WYJH,2,20.83,FI4V8,2SEIL
0GZ0C,4,2.99,TEVB3,TR3Y2
8EO2X,1,2.15,TEVB3,8B68O
37ERH,6,5.29,VCCED,I06B8
XYLRA,3,6.49,K43RY,XY91U
LRL3E,3,2.4,LKPIF,56LQ1
MYW31,8,5.46,LKPIF,TAWAM
579JB,1,2.23,K8GAH,IW939
ZGH7J,10,2.83,0Z55U,3WOYL
YNJWJ,6,0.99,VRS9Q,8NDN8
HWGC7,2,16.39,VRS9Q,3QQEP
TKV5J,5,0.99,U1P0A,86JQ7
8K28E,3,0.99,15OTA,HCUV9
DLZ3N,1,7.89,P3WYP,2HA90
MSDWH,5,3.36,3F0OQ,C9GM8
XURSH,5,16.85,3F0OQ,WURYH
H0KFS,8,3.12,3F0OQ,Z0C33
OUV7L,5,5.75,3F0OQ,YLKMA
U8NY7,4,19.23,IXHZG,9S30I
6MLCI,4,37.4,A6ZLB,37YQC
E0GS2,8,65.16,M91Z9,X0401
DF738,7,6.26,PWURB,U9UKN
E88QB,10,4.85,JE2Z2,22P6A
R3O4P,8,3.13,ZQ84L,W1HC2
UQIAH,3,8.16,WRVI7,QX43P
B0L2M,2,8.43,WRVI7,A0LI2
200YG,4,1.76,9YMXZ,ZWBXI
1SBJ4,5,19.86,1X7MZ,OP2W7
QAFJF,3,16.27,PP9MT,4S9UJ
D740U,9,10.82,YBII7,M3QZZ
SNX3J,9,4.47,5NRQS,A0LI2
YIH1R,1,0.99,NY81A,4YKYZ
V6JQD,2,0.99,J3C92,6MCT9
KLCM0,9,11.66,JV3QT,DTOPP
E1FBJ,2,1.37,V8KFY,9HJ2E
Z6EE5,2,4.01,V8KFY,UDRJG
EQVT3,10,3.89,1VV9Z,S0GZ6
Z8W3C,6,1.19,1VV9Z,86JQ7
GCCHE,1,5.86,7JCCQ,NEUMF
39UWJ,5,7.74,U2LUQ,NRL6E
H9XL5,4,2.46,EOXPO,3XFXC
ZMFGV,2,8.21,TG5S9,T6KMJ
S8M29,1,4.73,TG5S9,ZDQMY
NGNQU,2,9.09,6IWHS,GOH26
N0O3B,10,4.52,6IWHS,UQ24K
RJNGB,2,5.26,A010Z,AJYXD
853UK,2,8.17,94CZ3,KLBI5
WVFVO,10,1.97,1AWTS,H3HBY
5Z7Q8,9,8.13,6698U,BQJ2N
137IP,2,10.37,28RHI,TBK0W
NUWN4,2,3.29,28RHI,YDQ0J
2VQVO,5,0.99,VZB17,XWXG8
T50AD,2,6.15,VZB17,4P6ZD
ANB8F,6,4.92,VZB17,ZKYBU
40GNW,8,0.99,VZB17,XWXG8
5RT8S,5,1.22,APFUM,MW448
TDP79,7,3.03,ZJZC4,L4H3G
2170J,7,5.47,96R51,46HCV
SB2CG,5,2.78,96R51,W1HC2
CGPCA,10,4.46,96R51,BNGIK
9W6OE,3,5.66,OH46H,QZPF5
503WT,5,0.99,OH46H,MMT4N
0KEGH,9,4.19,YK883,OBTGP
4OOHH,9,2.72,C5FD1,EEOQA
W1TNO,9,3.22,C5FD1,PZ2E2
KKQXA,4,20.6,S42WX,5LXR0
JRCCV,10,7.11,JJCXH,C0PRG
A24SX,1,36.52,T98F8,9S30I
EFY46,6,7.78,F2N9X,T6KMJ
8ATW5,9,13.0,F2N9X,79WN4
IFCH6,10,2.94,F2N9X,8Z8TG
XP8ZO,3,2.42,AAPXM,9P8N6
NTIJJ,8,13.29,PIP48,RFGWT
N7FZN,4,2.67,JK6TI,90N22
D8ZGQ,9,11.72,KY5T8,6IPAG
ZIT0R,9,2.64,NYTOM,4OQJ1
COTA7,8,2.28,T93QF,P39SF
OT9B6,8,1.51,660JL,4YKYZ
FQOR4,9,5.02,IN5K2,ZVH2Z
WKS7U,2,5.14,JBRGM,AJ69P
GY11A,9,0.99,RU7HD,8SVE8
090YO,4,4.61,RU7HD,FGW0O
FF0E2,6,3.1,RU7HD,EVNXI
6FJ7O,3,15.0,RU7HD,5Z6NV
4B8QW,8,5.79,EI9ZH,JY2QU
4MAJX,1,3.0,ERS3C,S5F2I
BF9RD,1,22.19,ERS3C,MB4PL
YEEWT,1,2.54,ERS3C,GS8WX
EHA03,7,0.99,UJ9XB,5LJYY
ZAVA8,5,0.99,0YZXJ,0VMR0
6GRV0,2,3.65,OCG8A,24TM5
YLFD5,5,0.99,OCG8A,6K05Y
99F2N,7,14.13,VMQ72,GOH26
YFQHZ,8,6.54,VMQ72,ZDQMY
1F4FY,5,29.1,KJW3O,AXA4R
RL6LP,2,2.61,KJW3O,58PB2
RMXOI,5,24.55,KJW3O,MPAO6
KBMQZ,6,0.99,1FMCW,WY80W
QCXWD,3,7.42,1FMCW,2H9ZP
O8WC8,2,5.65,3W4G2,S5F2I
1PKK2,4,1.87,1MK11,ZWBXI
N6127,1,3.54,1TO64,FA3EA
3V71U,9,5.95,1TO64,VKIMP
5XYWV,9,1.78,92OMO,F5WUW
EPDLK,8,26.42,RDDI0,JEBDN
1N2ES,7,2.37,RDDI0,H9ZS8
UW4V7,8,5.27,PSOU4,ZVH2Z
NE30Z,9,2.95,ZEWDE,TJHLQ
2COHP,5,1.17,ZEWDE,Y2HKP
M0ME9,10,5.74,ZEWDE,ZZSFC
O75E0,10,1.96,ZEWDE,Q7BWL
71D02,3,2.61,IKGIM,B4256
M0SUG,2,7.18,HO3ZQ,2GHCW
NBDQN,10,2.32,TPLL2,3WJU2
L8XRV,6,5.05,TPLL2,JY2QU
HMG9I,6,4.89,TPLL2,SSJWN
526XQ,10,8.26,TPLL2,8R03H
YQ5TM,2,7.34,BS86S,JY2QU
Q6RQN,9,7.16,1T4W9,LSX4P
Y93LH,4,5.56,2F78K,CFEXY
IXJRT,1,3.87,2F78K,ZQLZO
SUX6L,6,3.98,NMH6I,U0BKO
U1Q7L,1,22.19,JPWG4,U7N3T
O21RB,10,9.23,R9LJM,P97CG
NUMC4,3,3.46,YK1PE,43CM8
IOPVO,4,7.72,YK1PE,S86IH
J5DEE,4,5.37,W7778,VL9CZ
MYB90,2,2.15,96LGY,5RD7J
60SRF,6,5.93,VWS0Y,FDVH8
XYUHP,4,9.16,36G0U,6JLU0
4AW14,5,3.92,6P542,IW939
WD59C,10,2.91,6P542,D3GAP
46J17,3,2.79,F8JNA,WLXV4
C6SV1,10,0.99,8O8FK,8NDN8
GI9JG,2,2.57,KD626,0HZF8
HIAI7,7,5.47,KD626,5I2NI
40UCX,9,3.0,BM5GQ,WDQ7E
ATD15,8,4.63,NN8S3,WU6SK
85CG3,1,2.4,EUGVO,NEUMF
3GF62,1,19.68,SKI93,W2KMW
6IYTN,9,2.05,SKI93,80C11
3T8EL,10,5.08,DIY7S,LW1CZ
45B6H,9,3.57,AXVZD,PZ2E2
EO2YK,3,11.11,CFS25,UBZYL
PHAI6,5,11.88,CFS25,RFGWT
LFSRN,8,1.71,Y7TV9,RPRGX
7A0EL,8,2.42,67F5D,ED2FO
YC0J1,4,1.44,86GUQ,4XTQO
CFTW7,4,8.61,86GUQ,OP2NK
J27MD,8,16.07,N9NNS,5LXR0
KX9YW,1,17.24,N9NNS,LOPO9
AFW3N,2,4.8,Y817H,5DIKX
NGXFG,10,2.92,613GE,6X2OD
61ID6,9,4.76,RDIZU,X5XG7
MI0ZZ,10,1.6,SX9L4,NL2ZK
WD24D,4,2.84,KB5NF,QJ7MC
QEA0J,4,1.95,PS07L,WZO4R
2Q1NN,8,4.11,23OWF,1GQ8O
