order_id,total_price,time_placed,pickup_time,customer_id,shopper_id,vehicle_state,vehicle_license_plate,store_id,time_fulfilled
M91E9,166.59,2018-02-10T13:16:29.000Z,2018-02-10T17:51:52.000Z,071R3,3E6EG,SC,630-QDR,CRBII,2018-02-10T20:50:56.000Z
HYNIR,58.66,2018-02-10T15:20:00.000Z,2018-02-10T16:10:48.000Z,ISHW8,FKII9,CA,026J1,P1Q9D,2018-02-10T18:00:26.000Z
DXGFB,42.56,2018-02-11T18:27:20.000Z,2018-02-11T21:08:50.000Z,OBK9B,SK4KI,AL,W04-GUX,BTSUW,2018-02-12T02:36:40.000Z
BYUZ8,8.4,2018-02-12T18:55:20.000Z,2018-02-12T19:18:16.000Z,402EP,DMR7G,CA,BZU-6326,JESAR,2018-02-12T22:50:43.000Z
U73K1,20.65,2018-02-13T05:03:13.000Z,,KXAUG,9M2CI,SC,7JXL596,FW8ZT,2018-02-13T11:55:29.000Z
BUIJV,102.85,2018-02-15T05:21:57.000Z,,X0SFQ,3HXMS,WY,MSE-7671,70GOX,2018-02-15T10:38:30.000Z
FPDDB,25.4,2018-02-15T17:50:04.000Z,,Y86VC,NTJ7C,CA,2EZ42,34KK0,2018-02-15T23:27:04.000Z
BL0AF,117.7,2018-02-16T02:56:00.000Z,2018-02-16T08:43:08.000Z,FY34F,FJQB7,CA,221 VUV,ABRPL,2018-02-16T14:39:15.000Z
M20ME,25.55,2018-02-19T02:13:14.000Z,,P3FPZ,B7KXS,CA,9WM Q91,HU152,2018-02-19T06:21:43.000Z
1HKJC,3.96,2018-02-19T03:58:51.000Z,,TFJGZ,1UJX9,MI,783 1678,SG708,2018-02-19T08:04:19.000Z
HOWHB,11.11,2018-02-19T09:27:20.000Z,2018-02-19T13:31:18.000Z,FKTNQ,KY1VR,CA,328CHE,75EWH,2018-02-19T18:34:06.000Z
NYOD7,83.25,2018-02-19T23:56:52.000Z,2018-02-20T00:15:49.000Z,PXWGX,EQS4S,CA,Z07-EBK,596YT,2018-02-20T03:23:58.000Z
FPP30,84.5,2018-02-21T01:41:15.000Z,2018-02-21T02:30:02.000Z,TY6OR,IVAK8,WI,698V7,XGW8A,2018-02-21T06:27:39.000Z
7VIEE,46.4,2018-02-21T02:49:23.000Z,2018-02-21T07:13:36.000Z,D22J7,7RVJN,CA,320 XPN,ZLYE6,2018-02-21T09:32:58.000Z
J3AGX,16.83,2018-02-21T04:57:24.000Z,2018-02-21T07:19:06.000Z,X647O,DHT4W,AZ,H12-UXV,UYQ5A,2018-02-21T11:17:36.000Z
SFGUV,6.4,2018-02-21T06:10:12.000Z,,AUYK2,S8S8W,OR,254 KMD,LJ7HH,2018-02-21T12:38:34.000Z
SHYOZ,131.32,2018-02-22T08:07:19.000Z,,O15SU,6U497,CA,53Z 848,AULSB,2018-02-22T15:34:50.000Z
98XWS,81.84,2018-02-23T06:52:30.000Z,,6D7T3,63SY1,OK,477 2PK,0HKZ3,2018-02-23T13:45:30.000Z
X5V6L,61.12,2018-02-23T09:59:18.000Z,,3F56U,8SJGW,CA,LTI 407,ZV68L,2018-02-23T13:59:43.000Z
7JKUZ,79.82,2018-02-24T05:01:20.000Z,,G7YNW,DJ9Q8,CA,471 MQN,EHN88,2018-02-24T12:25:53.000Z
XDEFQ,7.86,2018-02-24T14:10:28.000Z,,ZQR2O,RH155,CT,13CT600,KYN21,2018-02-24T18:52:38.000Z
MCN6O,20.6,2018-02-25T06:00:37.000Z,,TZ0T4,H47E6,CA,DZO 412,B4268,2018-02-25T08:31:29.000Z
92HTK,13.83,2018-02-25T10:11:03.000Z,2018-02-25T14:31:57.000Z,K8UA4,K85P4,NH,MBR-2131,CUBUY,2018-02-25T14:33:58.000Z
ABE91,415.04,2018-02-27T15:41:10.000Z,2018-02-27T20:37:20.000Z,CFRC5,23DVK,CA,655 ONK,0OENH,2018-02-27T23:12:38.000Z
YB79H,146.36,2018-03-01T01:42:03.000Z,,TQU0V,KEE02,NJ,8BE H23,TMZ9R,2018-03-01T07:04:29.000Z
SFHYT,64.45,2018-03-01T10:30:46.000Z,,ETAIG,JVN1X,CA,3VR 240,C6EQ7,2018-03-01T17:41:58.000Z
36TVC,8.91,2018-03-01T13:58:01.000Z,2018-03-01T19:39:03.000Z,5506R,QBG8L,CA,IS 4747,LKTXB,2018-03-01T21:06:54.000Z
CZT6Q,12.25,2018-03-02T02:57:31.000Z,,91H9E,FDB35,WY,913-WGS,EHN88,2018-03-02T05:44:42.000Z
MQH01,12.4,2018-03-02T04:11:25.000Z,2018-03-02T09:12:23.000Z,0WZH2,D3QCH,CA,7FU1479,MY9U5,2018-03-02T13:40:27.000Z
IYKHG,45.2,2018-03-02T11:31:36.000Z,2018-03-02T15:53:42.000Z,NMQIJ,R5Z9M,MS,LOY 057,3HM75,2018-03-02T16:01:54.000Z
AP4HF,158.75,2018-03-02T22:31:59.000Z,2018-03-02T22:35:48.000Z,HIF6V,53DQU,GA,182 NTB,UAU1O,2018-03-03T01:35:45.000Z
G599Q,58.36,2018-03-03T17:40:25.000Z,2018-03-03T22:09:56.000Z,YTEDF,6YGC3,CA,ZJJ5087,2ED08,2018-03-04T02:32:32.000Z
Q15QJ,29.76,2018-03-04T20:02:38.000Z,,FX4RA,HR35R,CA,037 CJV,0K71G,2018-03-05T06:03:22.000Z
EG51Z,8.33,2018-03-05T04:28:05.000Z,2018-03-05T07:48:58.000Z,UGJ9B,CHAIU,CA,151-FZFW,1ZTDE,2018-03-05T08:25:39.000Z
HYWNZ,239.58,2018-03-05T06:53:41.000Z,2018-03-05T10:30:24.000Z,RMGGV,EIYQ8,ID,786 YLE,L38HG,2018-03-05T11:39:46.000Z
NEWD9,24.78,2018-03-06T13:13:23.000Z,,LWN92,V2A0I,CA,544 4PX,JR3IY,2018-03-06T18:26:52.000Z
DDGKY,75.96,2018-03-06T16:04:15.000Z,,FOC3C,BCS4T,CO,799-ZJCU,WQL1A,2018-03-06T18:13:04.000Z
6DKLQ,46.1,2018-03-07T02:41:31.000Z,2018-03-07T07:31:44.000Z,V4S82,TYTXT,CA,WQC-880,P8OG7,2018-03-07T08:01:04.000Z
D0CF2,41.34,2018-03-07T19:30:19.000Z,2018-03-07T21:34:54.000Z,XAQHA,RSCP9,CA,688 BJR,DV8C3,2018-03-07T22:51:38.000Z
T0QAX,5.71,2018-03-07T23:47:06.000Z,2018-03-08T01:00:55.000Z,NS5H2,FOC3C,AK,AF 0674,WW9OJ,2018-03-08T03:46:17.000Z
4WPXA,196.48,2018-03-08T15:49:36.000Z,,7WH7M,DFQHP,CA,1Q751,6BT2B,2018-03-08T19:51:03.000Z
E9JV8,81.4,2018-03-09T03:26:44.000Z,,IFJFZ,LW5GF,CA,0Y 3V5QEB,G9N3Z,2018-03-09T11:53:01.000Z
KWR4E,27.52,2018-03-09T04:18:46.000Z,,SPS4B,V7ZPX,MN,66-XL72,TBOG4,2018-03-09T08:05:56.000Z
C64G3,25.21,2018-03-09T22:12:14.000Z,2018-03-10T03:32:07.000Z,RXQND,ZUZ1G,CA,2-58399,C7KJY,2018-03-10T06:45:17.000Z
H615W,49.19,2018-03-10T02:43:04.000Z,,M26UD,E42JX,CA,74-U963,1RMXY,2018-03-10T12:56:35.000Z
SW0C5,77.12,2018-03-10T16:21:15.000Z,2018-03-10T17:22:37.000Z,73X9S,18P8F,MT,PUG-6067,AULSB,2018-03-10T21:58:14.000Z
1LND6,4.1,2018-03-11T11:48:21.000Z,,F36CZ,H47E6,CA,76DB0,B4268,2018-03-11T16:00:13.000Z
JQBX1,20.34,2018-03-11T23:51:24.000Z,,XXT85,TWAG1,SC,LUR 925,ZNOFW,2018-03-12T01:01:08.000Z
NT8FG,46.84,2018-03-12T00:50:50.000Z,,GBWP4,T6YDW,CA,2E 4F3RMV,NBO2D,2018-03-12T06:31:36.000Z
2F15W,17.52,2018-03-12T11:49:57.000Z,,MO8VN,CYNR7,CA,8DX M77,HI9JV,2018-03-12T20:36:19.000Z
1QY7V,10.08,2018-03-12T17:58:06.000Z,2018-03-12T21:45:03.000Z,QQQBA,TOC4X,CA,146-XIY,48V79,2018-03-13T01:53:26.000Z
JYZZN,52.11,2018-03-12T20:11:58.000Z,2018-03-12T23:10:26.000Z,V2M4M,PNTR7,IL,388-VHT,VF8FD,2018-03-13T04:20:37.000Z
XSMJM,20.75,2018-03-13T02:25:27.000Z,2018-03-13T05:58:03.000Z,M8B06,9YD22,HI,6-84339T,5LHF9,2018-03-13T11:43:20.000Z
E0ZHQ,67.92,2018-03-13T18:49:05.000Z,,XP17V,QFT7M,SC,920AJU,T5RSD,2018-03-14T03:23:58.000Z
PAIWB,42.28,2018-03-14T00:12:10.000Z,2018-03-14T03:50:32.000Z,00WNZ,QFT7M,IN,0AN E79,T5RSD,2018-03-14T09:40:13.000Z
WT1JW,6.38,2018-03-14T01:39:43.000Z,,M0XRR,DFQHP,CA,OYA-399,6BT2B,2018-03-14T06:28:14.000Z
I4SHF,58.82,2018-03-15T08:31:16.000Z,2018-03-15T09:53:19.000Z,NBRMN,RH155,NY,783 EIM,KYN21,2018-03-15T13:41:55.000Z
IVPDK,76.41,2018-03-15T17:27:05.000Z,2018-03-15T21:39:18.000Z,PW1LD,ZJWLB,CA,KEF-686,K7GAU,2018-03-15T22:54:27.000Z
UYLZV,143.1,2018-03-15T19:43:18.000Z,,HSQIL,U1OPI,CA,CIK 710,FCOVT,2018-03-16T03:00:25.000Z
3YDKD,21.7,2018-03-15T22:39:21.000Z,2018-03-16T00:26:58.000Z,RSU9A,SIKQI,CA,4WP 418,VHNP8,2018-03-16T02:02:34.000Z
HNXH4,109.4,2018-03-16T16:36:35.000Z,2018-03-16T18:17:23.000Z,OHKIO,MR3R6,CA,LPU 184,M77DZ,2018-03-16T18:41:15.000Z
3SXJO,5.91,2018-03-16T21:23:40.000Z,2018-03-17T00:19:30.000Z,CFGLH,HR35R,CA,4JN2790,VCL23,2018-03-17T02:55:29.000Z
1MD16,227.27,2018-03-18T01:03:31.000Z,2018-03-18T02:01:53.000Z,RQSBZ,18CPE,DE,547IF,CD9S9,2018-03-18T04:10:37.000Z
N860B,11.8,2018-03-18T15:27:59.000Z,,19QFR,92KQS,CA,ANX 281,3XUGZ,2018-03-18T22:28:05.000Z
D2EQP,32.12,2018-03-18T15:55:19.000Z,2018-03-18T19:51:33.000Z,AVLQH,B1OU4,CA,Y 971357,WJ3DD,2018-03-19T00:32:18.000Z
O712F,75.0,2018-03-19T00:31:33.000Z,,GSWLM,Y7N2U,CA,P90-DNG,12XXK,2018-03-19T04:20:26.000Z
JS0XB,30.72,2018-03-19T11:15:07.000Z,,B8WJY,OTHL0,CA,6C122,FNJXE,2018-03-19T20:30:19.000Z
JGKQ4,5.82,2018-03-19T12:22:24.000Z,,Z372Y,80RYL,CT,072 OXP,AR4Q8,2018-03-19T18:34:22.000Z
YNIXS,62.8,2018-03-19T23:20:06.000Z,,Z2TIS,E98WB,CA,IUO 019,P4RIP,2018-03-20T04:28:01.000Z
BY0CZ,198.1,2018-03-20T20:12:57.000Z,,R9YLM,I5IEP,CA,95O•187,9JYTW,2018-03-21T02:50:49.000Z
JTMNH,64.44,2018-03-21T06:03:46.000Z,2018-03-21T08:07:19.000Z,0HU3M,DVVFS,CA,MWL 783,0OENH,2018-03-21T10:32:41.000Z
7BVM3,90.2,2018-03-22T23:02:23.000Z,2018-03-23T03:34:04.000Z,D0YRV,DHT4W,CA,9H TV316,E0HTC,2018-03-23T09:30:35.000Z
51GDC,65.34,2018-03-23T03:14:53.000Z,2018-03-23T08:09:32.000Z,8JZW4,1RBTZ,CA,LFC 059,78UQA,2018-03-23T09:12:45.000Z
UK6NK,10.55,2018-03-23T23:56:09.000Z,,CFXO7,AIS2H,CA,HTU2902,SFZ1F,2018-03-24T07:37:27.000Z
HCFWC,20.71,2018-03-24T00:28:37.000Z,2018-03-24T00:41:51.000Z,ZM9TY,WQVIQ,WI,AHA 229,NTEVA,2018-03-24T01:00:54.000Z
OLAQT,89.91,2018-03-24T02:46:44.000Z,2018-03-24T08:35:35.000Z,6PPN0,SM348,CA,X 270696,S4YOY,2018-03-24T10:09:09.000Z
D35SR,4.74,2018-03-24T05:50:28.000Z,,GA1OS,BQHN5,CA,483-BAM,BWJC0,2018-03-24T12:19:06.000Z
4C039,4.71,2018-03-24T12:41:19.000Z,2018-03-24T14:29:33.000Z,VRU1Z,4H3OB,CA,377-XFH,4AOVR,2018-03-24T15:52:26.000Z
PWE4W,144.4,2018-03-25T09:54:57.000Z,2018-03-25T15:53:35.000Z,6KL6G,DVVFS,CA,8759 IU,0OENH,2018-03-25T17:27:39.000Z
8D1V7,46.0,2018-03-25T10:56:00.000Z,2018-03-25T15:29:50.000Z,C0Y7M,AXDVR,CA,7-81774H,OXPXL,2018-03-25T20:10:10.000Z
ZUP55,147.15,2018-03-25T16:23:43.000Z,,G341K,7WK8W,CA,475-UGQ,LKTXB,2018-03-25T22:14:09.000Z
FZSVU,15.08,2018-03-26T02:10:30.000Z,2018-03-26T05:22:37.000Z,AUK2M,VDCQO,CA,ZQB 1596,6DT5L,2018-03-26T08:23:32.000Z
VWHPO,20.16,2018-03-26T04:58:17.000Z,,FKII9,GYNJS,WI,655-VLE,FPQNI,2018-03-26T10:23:08.000Z
XEQ5A,28.6,2018-03-26T20:47:37.000Z,,7L7YT,BECT8,CA,BNQ-0332,8L32G,2018-03-27T02:37:12.000Z
LHQUK,16.14,2018-03-26T21:25:46.000Z,2018-03-26T21:52:03.000Z,GY0KK,ZMJXU,MA,19N 348,1O3SE,2018-03-27T02:45:21.000Z
MXDKI,34.74,2018-03-27T09:14:51.000Z,2018-03-27T13:20:18.000Z,5H31M,4IT2L,CA,458 QFM,TBOG4,2018-03-27T18:40:23.000Z
C89CM,88.52,2018-03-27T10:29:38.000Z,,OE4HV,CPQEB,CA,52-6690F,I1LKN,2018-03-27T16:29:25.000Z
2AC2G,43.68,2018-03-27T18:45:06.000Z,2018-03-27T22:28:20.000Z,2DR30,XRCX9,GA,0VP 603,16G9G,2018-03-28T02:49:42.000Z
9W0WL,23.28,2018-03-28T18:08:24.000Z,2018-03-28T20:39:44.000Z,XM4JB,M73C3,DE,45-79660,4WSHA,2018-03-29T01:50:42.000Z
SFP3V,17.5,2018-03-29T08:57:29.000Z,2018-03-29T10:43:09.000Z,QAEOW,8NXJS,ND,215 OLX,LJ7HH,2018-03-29T15:12:22.000Z
O7EI7,141.39,2018-03-29T12:48:15.000Z,2018-03-29T14:32:41.000Z,XSE5T,5IBDJ,CA,765 HAO,HAGUN,2018-03-29T16:44:50.000Z
AK6G1,18.8,2018-03-30T15:25:07.000Z,2018-03-30T17:57:38.000Z,EA882,3S3RA,CA,613G,863SW,2018-03-30T22:20:25.000Z
3II21,56.16,2018-03-30T18:55:23.000Z,2018-03-30T20:56:11.000Z,U5WUX,UFLXY,WI,545-KFI,95P3J,2018-03-31T00:52:28.000Z
ZEP36,61.38,2018-03-30T19:42:10.000Z,,NL4VD,VIUXI,CA,AUU 386,K9E1M,2018-03-31T03:47:05.000Z
I9W31,108.45,2018-03-31T01:45:43.000Z,2018-03-31T03:22:16.000Z,KNBNP,RSCP9,CA,RMP4559,DV8C3,2018-03-31T08:34:01.000Z
ALLEE,18.72,2018-03-31T18:56:55.000Z,,KFYOB,KYBF4,CA,A64 1PJ,2Y0J2,2018-03-31T23:52:08.000Z
ZVN3H,48.16,2018-03-31T22:37:04.000Z,2018-04-01T01:04:28.000Z,T9AAN,CHDSM,OK,373RJV,5LHF9,2018-04-01T05:52:32.000Z
C0S4N,32.13,2018-04-01T00:57:17.000Z,,5XTXC,WQFU4,CA,GNL1062,3WGHH,2018-04-01T01:30:24.000Z
LDT47,3.46,2018-04-01T19:08:14.000Z,,HS6UU,LDP2V,CA,8EE B65,AMT4C,2018-04-01T22:21:13.000Z
77NRQ,4.66,2018-04-01T21:51:24.000Z,,15J08,RSCP9,CA,6DQ 314,MY9U5,2018-04-02T06:52:26.000Z
6EE24,2.26,2018-04-03T12:00:41.000Z,2018-04-03T13:00:01.000Z,DM43S,GXNJS,CA,143 ANQ,D3O18,2018-04-03T15:25:33.000Z
0QR3T,11.13,2018-04-03T20:33:15.000Z,,VIUXI,13W4B,CA,KNJ-630,14VAS,2018-04-04T06:50:17.000Z
170Z0,43.59,2018-04-03T22:25:17.000Z,,Y9SFQ,EINLV,CA,YLG 450,DV8C3,2018-04-04T08:51:30.000Z
OOTTU,13.52,2018-04-04T08:51:11.000Z,2018-04-04T13:50:13.000Z,6HCGW,MJRBS,CA,0WU D89,WP10Q,2018-04-04T17:48:31.000Z
U5XMP,71.04,2018-04-04T14:16:23.000Z,,VNF5U,GIIMF,CA,0M H9647,YSYH8,2018-04-04T19:28:31.000Z
XM5K5,153.09,2018-04-04T15:50:45.000Z,,3AW1V,7BU11,VA,MDU4378,XGW8A,2018-04-04T21:56:15.000Z
A8L2K,10.86,2018-04-04T19:06:25.000Z,,5TFVD,K3UZB,CA,CLF 810,J3JKM,2018-04-05T00:34:19.000Z
TNJE2,70.35,2018-04-05T12:24:24.000Z,,XR2HK,V26OY,NV,684 2VW,F5LEJ,2018-04-05T23:22:06.000Z
K39RK,3.26,2018-04-05T12:58:00.000Z,,LHUHG,DKMZI,CA,8RR O06,2YRRD,2018-04-05T18:36:57.000Z
4ROAF,38.8,2018-04-05T13:10:45.000Z,2018-04-05T14:31:34.000Z,OHZJ1,Z2TIS,CA,968BOD,2K77Q,2018-04-05T18:54:16.000Z
SYYLR,5.12,2018-04-05T20:09:29.000Z,2018-04-05T21:22:01.000Z,4T7M1,W8G39,CA,384 4468,G29KT,2018-04-06T01:23:41.000Z
R05XI,30.4,2018-04-05T22:40:08.000Z,,JZZJB,IYQ2K,AZ,393CQW,BWJC0,2018-04-06T01:24:06.000Z
ETNM7,14.55,2018-04-06T12:20:35.000Z,2018-04-06T15:55:56.000Z,4C4H5,HAAGO,AZ,469 MYJ,48V79,2018-04-06T17:47:46.000Z
W33UK,23.94,2018-04-06T20:27:25.000Z,2018-04-07T00:37:35.000Z,V7XH3,FGYNW,CA,221-OIU,7ASSJ,2018-04-07T04:10:47.000Z
5XMLK,15.48,2018-04-06T23:58:15.000Z,2018-04-07T05:35:28.000Z,MX4YW,6ZJBP,CA,1X A0440,CTAQ0,2018-04-07T11:19:57.000Z
DFVAW,14.55,2018-04-07T03:22:52.000Z,,27PAW,AF94P,WV,ZJM 237,I4R4M,2018-04-07T11:19:08.000Z
ELY45,7.32,2018-04-07T09:54:51.000Z,,HDSR0,103IX,CA,367 6JY,ZNOFW,2018-04-07T13:16:04.000Z
J05L9,159.67,2018-04-08T01:48:47.000Z,,D0YRV,DJ9Q8,CA,9H TV316,EHN88,2018-04-08T10:06:36.000Z
OW4SE,2.68,2018-04-08T13:34:17.000Z,,ILP5K,JBJWZ,CA,CF1 8217,NYD1F,2018-04-08T17:01:44.000Z
9Z593,91.9,2018-04-08T18:10:04.000Z,2018-04-08T20:42:00.000Z,GUK5T,LK5C1,CA,29B•304,1RMM5,2018-04-09T00:30:54.000Z
OIQ2B,19.58,2018-04-09T10:31:35.000Z,2018-04-09T10:34:10.000Z,FYWOA,ZM2RY,CA,12V•748,RW80G,2018-04-09T10:59:18.000Z
UKNM1,33.98,2018-04-09T19:59:49.000Z,2018-04-09T21:57:10.000Z,1ZRV6,DVVFS,CA,98-ZQ03,0OENH,2018-04-09T23:55:04.000Z
AXUPS,65.87,2018-04-09T23:52:59.000Z,2018-04-10T04:34:59.000Z,3ROM7,92KQS,CA,7YP0476,3XUGZ,2018-04-10T06:10:29.000Z
LUEKD,72.66,2018-04-10T05:41:07.000Z,,9WTKY,3MODL,CA,KKD 280,RW80G,2018-04-10T13:17:37.000Z
WN5JW,48.88,2018-04-10T06:11:34.000Z,2018-04-10T10:18:02.000Z,QOCKB,8SJGW,MS,44-80976,ZV68L,2018-04-10T12:04:47.000Z
KOOO6,30.18,2018-04-10T10:30:49.000Z,,QRX7M,VIUXI,ND,78BZ047,K9E1M,2018-04-10T16:09:44.000Z
P95WQ,8.11,2018-04-10T12:33:27.000Z,,BYCXN,KB8R8,CA,QZA5454,J30MG,2018-04-10T17:48:31.000Z
CEXGA,30.44,2018-04-10T14:49:30.000Z,,1G7CH,PYWOH,CA,162 2DV,YLPSD,2018-04-10T21:54:27.000Z
D9NLI,65.2,2018-04-10T23:54:29.000Z,2018-04-11T04:31:36.000Z,R8HGK,K8UA4,CA,0AO2650,K36PR,2018-04-11T09:49:42.000Z
98FBM,32.33,2018-04-11T15:38:37.000Z,,XSBPD,W8G39,NV,690S,G29KT,2018-04-11T17:17:19.000Z
L5W2F,37.04,2018-04-12T01:49:28.000Z,,YO3ED,SM9YZ,CA,7Z010,2TM62,2018-04-12T06:25:14.000Z
C1OQU,0.99,2018-04-12T07:42:58.000Z,2018-04-12T09:54:54.000Z,RDMDW,P1S6R,OH,MXP 866,KCNOQ,2018-04-12T11:27:42.000Z
XK6KO,40.16,2018-04-12T07:51:13.000Z,,PXPRJ,Y5B0M,NC,SWG-306,G9V7E,2018-04-12T10:04:42.000Z
RJEA8,96.84,2018-04-12T13:30:48.000Z,2018-04-12T13:31:05.000Z,W73B2,KUGE3,KS,7GY 696,4SRHC,2018-04-12T17:57:08.000Z
PEDQZ,21.92,2018-04-13T09:27:29.000Z,2018-04-13T13:13:27.000Z,YLGKV,T6YDW,CA,902 ZJD,NBO2D,2018-04-13T16:12:38.000Z
B32BY,257.2,2018-04-13T19:06:41.000Z,,GWD4M,37JFY,GA,6UR 229,XV82A,2018-04-13T22:47:02.000Z
HMMJ2,5.94,2018-04-14T00:07:33.000Z,2018-04-14T01:13:01.000Z,EQH3C,3CMJ3,MD,5QX M55,YLPSD,2018-04-14T04:26:40.000Z
WEIQT,5.94,2018-04-14T03:52:06.000Z,2018-04-14T05:25:04.000Z,3B9XP,NJ1VR,OH,O95 9XR,36BGX,2018-04-14T07:57:52.000Z
18MFO,15.44,2018-04-14T12:56:10.000Z,,0V3IU,75UQU,CA,265 MWS,B6UIN,2018-04-14T19:31:39.000Z
NA5XS,10.71,2018-04-15T20:17:10.000Z,,DMR7G,1CGPG,CA,807-UEA,1HTLD,2018-04-16T05:37:31.000Z
AOKBO,125.7,2018-04-15T23:07:02.000Z,2018-04-16T04:49:26.000Z,12WMV,V7XH3,CA,CDZ 567,3PQ8F,2018-04-16T08:37:06.000Z
IF5N1,29.66,2018-04-17T03:03:33.000Z,,Z12K3,R9YLM,CA,9951 AH,E2F4D,2018-04-17T11:00:15.000Z
HTGL3,76.35,2018-04-17T06:56:57.000Z,,316HP,KP5NH,CA,C52-BCK,ES4MT,2018-04-17T13:35:37.000Z
QILBA,53.9,2018-04-17T07:07:27.000Z,2018-04-17T07:43:10.000Z,GGL3Z,7RVJN,NC,EK 72868,ZLYE6,2018-04-17T10:34:04.000Z
Z027A,133.83,2018-04-17T10:50:16.000Z,,ZA9IQ,TAV2I,CA,KL4 1449,BHDBX,2018-04-17T17:31:57.000Z
42215,41.46,2018-04-18T00:40:49.000Z,,6M30A,JCSN0,PA,UEJ-0130,PXQ0C,2018-04-18T04:52:25.000Z
XUSXJ,5.94,2018-04-18T02:55:11.000Z,2018-04-18T06:20:19.000Z,ZNMA6,VQLN0,CA,87-4763U,C6EQ7,2018-04-18T06:44:08.000Z
