state,license_plate,year,model,make,color
VT,LWS 060,2010,Eclipse,Mitsubishi,Aqua
MN,M05-03E,2011,Silverado 1500,Chevrolet,Silver
CO,VAR-0526,,,Volkswagen,Gray
AK,XGE-309,,,Lexus,Olive
PA,ZGU 462,1998,,Dodge,Yellow
VA,0-8967E,,,Chevrolet,Gray
TN,12LQ1,2008,,Ford,Fuchsia
SD,298 4XD,2007,,Porsche,Purple
IA,340 VV9,,Outlander,Mitsubishi,Blue
MO,3ZK 405,,Express,Chevrolet,Black
ND,428G,,,Chevrolet,Navy
SC,48-8108D,,F-250 Super Duty,Ford,Lime
TN,733 GDU,2010,,Volkswagen,Teal
NM,809F,,,Kia,Blue
AL,8AM 505,,,Honda,Navy
TX,8X Y7531,2012,Soul,Kia,Purple
WV,90P 809,,Titan,Nissan,Aqua
WI,AHA 229,,Acadia,GMC,Fuchsia
NV,I 365658,,Sequoia,Toyota,Black
CA,K43-SNJ,2011,Camry,Toyota,Navy
UT,MBA 955,,,Toyota,Navy
AZ,079296,,,Chevrolet,Yellow
AZ,197-XIJJ,2012,Aventador,Lamborghini,Navy
AZ,442-MOK,2013,Sorento,Kia,Gray
AZ,6261,2007,MAZDA6,Mazda,Fuchsia
AZ,9H783,,,Land Rover,Silver
AZ,H12-UXV,,,Mercedes-Benz,White
AZ,UIC-1051,,Golf,Volkswagen,Green
CO,06R 214,2011,,Mercury,Blue
AK,660 IEV,,,BMW,Black
GA,7TT 444,,ATS,Cadillac,Fuchsia
DC,9247,,CLK-Class,Mercedes-Benz,Gray
OR,CLG-086,,,Ford,Teal
WV,GZP-198,2000,,GMC,Lime
IN,IPR2746,2009,F-250 Super Duty,Ford,Lime
HI,ZKO 904,2009,,Honda,Aqua
ME,071 WPY,,,Aston Martin,Navy
KS,11-B631,,,Nissan,Maroon
RI,3PW M25,2013,Sorento,Kia,Aqua
OR,5-K6538,,Colorado,Chevrolet,Gray
WY,7-02972E,,Charger,Dodge,Olive
NY,7-W6856,2010,Cube,Nissan,Lime
PA,87Y ER8,2007,,Subaru,Fuchsia
LA,AGP 467,2012,,Chevrolet,Gray
GA,NKW 178,2007,S4,Audi,Maroon
TX,OB5 5853,,,GMC,Blue
WY,RYW 202,2012,,Suzuki,Olive
AK,05R 983,,Navigator,Lincoln,Lime
KS,2KF28,,,Chevrolet,Green
WA,30-1892O,,,Honda,Yellow
MT,3B GI001,,Silverado 2500HD,Chevrolet,Green
OH,431618,,Yaris,Toyota,Maroon
MA,545JH,,,Honda,Purple
WY,645F,,,GMC,Green
MS,707JLO,2005,,Suzuki,Teal
WI,C77-05G,,,Aston Martin,Blue
WA,K 312466,2012,,BMW,White
IL,KNX 787,2011,Camry,Toyota,White
IA,NU 8789,,Flex,Ford,Silver
MD,TDB1720,2010,Silverado 3500HD,Chevrolet,Teal
SD,TNW 068,,,MINI,Aqua
PA,UIJ 367,,GS 350,Lexus,Silver
DE,WC6 Q4G,,Pathfinder,Nissan,White
WI,ZAE 2837,,,Volkswagen,Silver
MI,ZRC1387,,,Toyota,Green
MO,454 GXK,,Silverado 3500HD,Chevrolet,Lime
IN,502 8303,2011,,Volkswagen,Purple
OH,7HQ0862,,Silverado 2500HD,Chevrolet,Lime
TX,PCJ-0958,,,Audi,Purple
OK,PDR-1104,,,Ford,Gray
AK,PI 0770,2006,Relay,Saturn,Purple
WI,ZVQ 633,,Commander,Jeep,Green
ID,1395,,,Volkswagen,White
SD,1CA2324,2010,,Toyota,Teal
WA,3-91457K,2001,Durango,Dodge,Navy
IN,6TDN 27,2004,Passat,Volkswagen,Lime
NC,86-91793,2011,Silverado 1500,Chevrolet,Green
NE,9EJN270,2005,,Chevrolet,White
DE,A89 1WU,2010,,Lexus,Blue
TN,ZMJ 984,,,Ford,Fuchsia
GA,182 NTB,,Jetta,Volkswagen,Blue
IL,3ME 362,,Silverado 3500HD,Chevrolet,Olive
CO,479 NPI,2009,,Volkswagen,Yellow
WI,54X J71,2009,,Nissan,Yellow
AR,5MSI072,2006,,Chevrolet,Aqua
KY,700 1LR,,Express,Chevrolet,Maroon
IL,8WC60,2008,,Ford,Black
GA,J38 1IS,,,Kia,Aqua
DE,YFQ-259,,,GMC,Black
LA,ZTR 932,,,Porsche,Silver
SC,2-97886,2010,,Chevrolet,Blue
GA,45B 6699,,Colorado,Chevrolet,Navy
NE,589 QUO,,3 Series,BMW,Navy
NV,6BE4277,,,Dodge,Silver
MA,892 ONE,,Sonoma,GMC,Maroon
HI,8BJ 903,,7 Series,BMW,Green
MO,P67 6HO,2007,RX 350,Lexus,Black
DC,05M Z40,,,Ford,Maroon
NE,262 9HL,,Savana Cargo,GMC,White
NJ,4D 6K5YRO,,C30 1 ton P/U 2WD,Chevrolet,White
NE,623 PAD,2006,4Runner,Toyota,Green
NH,71UK004,,Cruze,Chevrolet,Purple
AK,AF 0674,2012,,Chevrolet,Black
WY,HGF-940,,,Acura,Blue
AL,JDO-488,,Cooper Clubman,MINI,White
MI,LXY 297,,,GMC,Green
GA,MVL 311,2008,Silverado 3500HD,Chevrolet,Navy
TN,0JWT101,2007,Impreza,Subaru,White
RI,363-RIOE,2012,,Buick,Aqua
IL,49W P91,,,Volkswagen,Black
TN,5BV2651,,911,Porsche,Blue
HI,6P K8706,,,Audi,Blue
NH,722 HAF,2007,,Honda,Green
DC,C92 0TH,,,Ford,Gray
IN,J30 1EC,1986,Lesabre,Buick,Blue
OR,LQI-3812,,Sierra 2500HD,GMC,Navy
MS,RQB-5126,,Titan,Nissan,Aqua
VT,XTM-572,,TSX,Acura,Yellow
KS,056-QKD,2008,,Chrysler,Olive
NH,148-RYW,1976,,GMC,Olive
LA,198-HWI,2010,Corolla,Toyota,Fuchsia
NM,213W,2007,F-350 Super Duty,Ford,Teal
WV,36J•294,,Camry Solara,Toyota,Green
LA,3KI O46,1995,Sierra 2500,GMC,White
TX,53F 1501,,Sierra 3500HD,GMC,Fuchsia
CT,6CN F32,1970,,Chevrolet,Purple
NH,6MZQ 57,,F-150,Ford,Purple
SC,729-KIB,,9-3,Saab,Lime
FL,918 BPM,2012,,Chevrolet,Olive
MA,EO 3029,2008,,Dodge,Purple
RI,HQ3 3626,,,Kia,Fuchsia
NC,IA2 W0T,,,Dodge,Green
NV,ZGF 494,2008,,Dodge,Yellow
KS,ZNL 271,2006,,Ford,Lime
WV,079 RAA,,Mariner,Mercury,Navy
GA,0VP 603,2011,,Suzuki,Green
NH,1ES 991,2007,Outback,Subaru,White
FL,267 KQP,2012,,Ford,White
OH,39M Y24,,300-Class,Mercedes-Benz,White
NC,58M 6619,,,Chevrolet,Fuchsia
NJ,706 5135,,,Jeep,Navy
MI,LGO-7863,,,Ford,Silver
TX,UEE 207,2009,,Lexus,Green
CO,VB3 B2G,,,Hyundai,Olive
LA,X17-36Z,,,Dodge,Yellow
NJ,168 NFZ,2006,Insight,Honda,Black
IL,2CC 518,,,Suzuki,Black
KY,3-2567K,2005,,Chevrolet,Silver
IN,418 AEO,2006,Ram Pickup 1500,Dodge,Navy
IA,4JHS536,,Silverado 3500HD,Chevrolet,Black
NC,5-80437C,,,Volkswagen,Olive
IA,7-87010Y,,,BMW,Fuchsia
DC,7O 5530O,,Taurus,Ford,Blue
MI,H85 7GU,2012,SRX,Cadillac,Maroon
WY,MSE-7671,,Rabbit,Volkswagen,White
GA,025-UFH,2011,,Honda,White
WA,569W,,,Jaguar,Yellow
VA,5RI 184,,Sierra 1500,GMC,Blue
UT,7-16491G,2010,Silverado 3500HD,Chevrolet,Silver
WA,7TL6044,2009,,Honda,Fuchsia
WI,BS-7277,2011,Highlander,Toyota,Silver
NC,N 775372,,,BMW,Black
OH,NKU 295,,Tundra,Toyota,Yellow
NV,TLA-927,,F-450 Super Duty,Ford,Lime
VA,1K 00668,1976,K1500 1/2ton Sub 4WD,GMC,Maroon
WI,32LD159,2011,XF,Jaguar,Navy
AK,358 LFV,,,Volkswagen,Lime
OK,477 2PK,2007,,Honda,Green
SD,68F XQ2,,Charger,Dodge,Fuchsia
MA,7-4755J,2013,ATS,Cadillac,Lime
NC,741-YYZ,2010,Passat,Volkswagen,Purple
UT,907 QZS,2007,F-350 Super Duty,Ford,Teal
OH,A09-85Q,2007,,Honda,Green
IL,MDU-9077,2008,Econoline Wagon,Ford,Fuchsia
NJ,SCK 313,,,BMW,White
PA,172 7754,,Commander,Jeep,Blue
OH,1BA44,2012,Escalade,Cadillac,Purple
WA,366 IGV,,,Honda,Fuchsia
WA,3DN6666,1998,Dakota,Dodge,Silver
WI,3LQ6406,,Silverado 2500HD,Chevrolet,Teal
AR,405-QQU,,F-150,Ford,Navy
ID,459-LEY,2009,DTS,Cadillac,Black
OH,60-BH39,2007,Sierra 3500HD,GMC,Black
UT,878-359,2008,,Ford,Olive
NC,ASL 608,,Titan,Nissan,Purple
GA,IGO-5548,,,Ford,Fuchsia
AK,462-HNM,2010,,Acura,Teal
PA,767MTA,2008,,Toyota,Teal
VA,842-WXY,2007,,Honda,Fuchsia
MT,FOL 585,2007,Silverado 3500HD,Chevrolet,Navy
MI,HVN 166,2006,,Toyota,Blue
ME,KNL 849,,Passat,Volkswagen,Black
RI,XII 275,2008,,Ford,Lime
CO,24IO915,,,Suzuki,Navy
MI,3G 10501,2006,Canyon,GMC,Aqua
NV,67S•451,,,Acura,Olive
KS,9-54566,,Acadia,GMC,Fuchsia
LA,ACH-817,,Fiesta,Ford,Silver
KY,AJY-5200,,,Ford,Silver
VA,DWO 559,2008,,Ford,White
KS,TQY 475,,RL,Acura,Olive
NV,YXF 1145,,S-10,Chevrolet,Silver
CA,0-0147J,,Highlander,Toyota,Teal
CA,0-0653O,2008,,Audi,Black
CA,0-1051K,2007,,GMC,Silver
CA,0-13415F,,Acadia,GMC,Yellow
CA,0-2502F,2007,tC,Scion,Black
CA,0-2823U,2011,,Nissan,Purple
CA,0-3295Q,2009,,Chevrolet,Olive
CA,0-34979H,2009,MAZDA6,Mazda,Aqua
CA,0-49499,2008,F-350 Super Duty,Ford,Green
CA,0-60173,2010,Yaris,Toyota,Green
CA,0-94511X,2008,Magnum,Dodge,Silver
CA,0-U7258,,,Ford,Silver
CA,0-X0888,2011,,Suzuki,Green
CA,0-Z9536,2006,ION,Saturn,Purple
CA,00-56837,,,Kia,Yellow
CA,00-A224,,CLK-Class,Mercedes-Benz,Navy
CA,00-MF68,2008,,Buick,Maroon
CA,00-XK78,2006,Relay,Saturn,Navy
CA,001-ZXNN,2007,Charger,Dodge,Yellow
CA,004 BFG,,Tucson,Hyundai,Navy
CA,005-NFF,,,Ford,Silver
CA,005-SCT,,,Chevrolet,Blue
CA,005XKD,,Cobalt,Chevrolet,Silver
CA,006 ZHY,2006,Accord,Honda,Fuchsia
CA,006 ZKK,2007,Charger,Dodge,Teal
CA,006-621,2008,GTI,Volkswagen,Teal
CA,006H,2007,Charger,Dodge,Purple
CA,007-NTY,2012,F-150,Ford,Teal
CA,007-ZWN,,Titan,Nissan,Yellow
CA,008-AYF,,,GMC,Yellow
CA,009 4KF,2007,Crown Victoria,Ford,Yellow
CA,009 6YQ,,Sequoia,Toyota,Blue
CA,01-0823K,2012,,BMW,Olive
CA,01-30086,2008,,Ford,Purple
CA,010 QSS,,F-250 Super Duty,Ford,Olive
CA,011-ENS,,,Lotus,Yellow
CA,012 ROD,1990,RAM 150,Dodge,Aqua
CA,014 OSY,,,Ford,White
CA,015 4TO,,,Chevrolet,Maroon
CA,015 6OV,,MAZDA6,Mazda,Teal
CA,016 QIQ,1990,,Mercedes-Benz,Silver
CA,016 QTH,,,Toyota,Teal
CA,016-IFC,2009,,Toyota,White
CA,0161,,tC,Scion,Lime
CA,017 ENN,,300-Class,Mercedes-Benz,Navy
CA,018U,,Acadia,GMC,Yellow
CA,019 RJW,2010,Routan,Volkswagen,Gray
CA,019 TVO,2011,Golf,Volkswagen,Gray
CA,01P H59,,,Suzuki,Green
CA,02-91987,,M6,BMW,Teal
CA,02-S614,,,Oldsmobile,Green
CA,020 1070,1986,,Buick,Fuchsia
CA,021-018,1995,Sierra 2500,GMC,Green
CA,022 JDB,2010,Silverado 3500HD,Chevrolet,Navy
CA,023 GKU,,,Dodge,Olive
CA,023-RFV,,,Lexus,Yellow
CA,023-TKN,2011,Fiesta,Ford,Maroon
CA,024-QZM,2011,,BMW,Fuchsia
CA,025 NJ0,1999,,Ford,Purple
CA,026J1,,CLK-Class,Mercedes-Benz,Purple
CA,0277 BK,,,Toyota,Aqua
CA,027DJO,2012,,Chevrolet,Silver
CA,027XO,,,Nissan,Fuchsia
CA,029 4736,,RAM 150,Dodge,Aqua
CA,029 IBM,2001,,Dodge,Olive
CA,029 ICY,2007,Silverado 3500HD,Chevrolet,Gray
CA,02D AX4,2011,,Acura,Olive
CA,02G 5769,,,Ford,Olive
CA,02J TQ1,2008,,Acura,Black
CA,02NE573,2012,Equator,Suzuki,Yellow
CA,030 7TH,2008,F-450 Super Duty,Ford,White
CA,030 PQS,,Routan,Volkswagen,Silver
CA,0308,,,Cadillac,Fuchsia
CA,030KBB,,XL-7,Suzuki,Teal
CA,031-AOU,,Magnum,Dodge,Maroon
CA,031RK,,Silverado 1500,Chevrolet,White
CA,032 FQA,,,Honda,Navy
CA,032C,2006,Five Hundred,Ford,Aqua
CA,033 XN4,,Dakota,Dodge,Yellow
CA,034 0818,2006,,Kia,Silver
CA,034 NTQ,,,Honda,White
CA,034-HTM,,,Honda,Teal
CA,035-323,2011,Silverado 2500HD,Chevrolet,Navy
CA,036-SII,2010,Explorer,Ford,Yellow
CA,037 CJV,,,Volkswagen,Teal
CA,038 QQB,,F-350 Super Duty,Ford,Teal
CA,039 MWG,,,Porsche,Purple
CA,03CO2,2011,,Mazda,Green
CA,040 BGR,2011,,Ram,Teal
CA,043 MSL,2008,Magnum,Dodge,Gray
CA,045 KWV,,911,Porsche,Teal
CA,045 QQ7,,TSX,Acura,White
CA,046-947,,Routan,Volkswagen,Purple
CA,048-MXV,,Range Rover Sport,Land Rover,Maroon
CA,0508 LV,,Corolla,Toyota,Yellow
CA,051-HTE,,,Chevrolet,Teal
CA,051-MNO,2012,,Lamborghini,Yellow
CA,053 6VX,2006,Range Rover Sport,Land Rover,Maroon
CA,054-VSP,2011,Ridgeline,Honda,Aqua
CA,0540,,,Suzuki,Navy
CA,056-BTI,2007,,Suzuki,Green
CA,0574 LY,1996,Monte Carlo,Chevrolet,Silver
CA,059-DYB,2006,Canyon,GMC,Black
CA,059-TXCL,2009,,Toyota,Olive
CA,05L JY2,,,Nissan,Yellow
CA,05T MA6,2007,Silverado 3500HD,Chevrolet,Black
CA,060 NIY,1998,Dakota,Dodge,Teal
CA,060FG,,Silverado 3500 Classic,Chevrolet,Aqua
CA,062CPN,2009,,Jeep,Black
CA,066 FUN,2012,Cruze,Chevrolet,Black
CA,066 WKC,,Corolla,Toyota,Silver
CA,066-FSL,,Pathfinder,Nissan,Aqua
CA,066XIQ,2007,Silverado 3500 Classic,Chevrolet,Lime
CA,067 0GV,,,Volkswagen,Silver
CA,067 TWL,,,GMC,Olive
CA,069 QQY,,Canyon,GMC,Blue
CA,06ZF7,,,Mazda,Silver
CA,070 BF6,,,Mercury,Teal
CA,071 MHI,,,Ford,Black
CA,073 8748,2012,,Chevrolet,Black
CA,073 KYR,,,Chevrolet,Maroon
CA,0736 VI,2011,Sequoia,Toyota,Silver
CA,073V1,2007,,Dodge,Yellow
CA,074U5,,Cruze,Chevrolet,Blue
CA,075 WKG,2008,Expedition,Ford,Aqua
CA,075-AIY,,,Nissan,Gray
CA,076 3OP,,Silverado 3500,Chevrolet,Fuchsia
CA,07I F21,2007,,Ford,Olive
CA,07P Y05,,,Ford,Maroon
CA,080-YAG,,Silverado 2500HD,Chevrolet,Teal
CA,0839,,,Toyota,Gray
CA,086J,,,Suzuki,Olive
CA,089 3PH,,EX35,Infiniti,Fuchsia
CA,08AZ3,,,Infiniti,Maroon
CA,08O F54,2008,F-150,Ford,Maroon
CA,08Y G85,,Silverado 2500HD,Chevrolet,Yellow
CA,09-ZL30,2012,Sierra 3500HD,GMC,Blue
CA,090 DBG,,,Volkswagen,Aqua
CA,091PQ,2007,Freestar,Ford,Black
CA,0927,2010,,Toyota,Blue
CA,094 YWJ,2007,,Audi,Maroon
CA,095 2138,2011,,Ram,Navy
CA,097 1PL,,,Chrysler,Yellow
CA,098-DXD,2007,S4,Audi,Black
CA,098JIA,2012,Cruze,Chevrolet,Silver
CA,09A O28,,7 Series,BMW,Black
CA,09BO7,2008,Tahoe,Chevrolet,White
CA,09K•502,,,Lexus,Olive
CA,0A 1671H,2008,,Mercury,Fuchsia
CA,0AO2650,,F-150,Ford,Maroon
CA,0B R6693,2008,,Audi,Aqua
CA,0C M0438,2012,Equator,Suzuki,Aqua
CA,0F 3766P,,,Audi,Purple
CA,0FN J46,2007,,Ford,Lime
CA,0G 94958,2008,CLK-Class,Mercedes-Benz,Blue
CA,0G C3651,,Yaris,Toyota,Navy
CA,0HD L35,,MAZDA6,Mazda,Navy
CA,0HX W23,2010,,Nissan,White
CA,0JU3129,,,Dodge,Black
CA,0JW 098,,,GMC,White
CA,0LG 373,2009,,Ford,Teal
CA,0M H9647,,4Runner,Toyota,Olive
CA,0MC 761,2010,,GMC,Fuchsia
CA,0N 75711,2011,Mariner Hybrid,Mercury,Gray
CA,0NET371,,,Ford,Fuchsia
CA,0NI 822,2001,Sierra 1500,GMC,Fuchsia
CA,0NXD972,,,BMW,Black
CA,0NZ 859,,,Mazda,Green
CA,0PQ11,2009,,Chevrolet,Black
CA,0Q E1939,,K1500 1/2ton Sub 4WD,GMC,Teal
CA,0Q548,2006,,Nissan,Olive
CA,0RT 291,2003,Savana Cargo,GMC,Maroon
CA,0T 2691R,,Civic,Honda,Navy
CA,0TDJ 45,2009,,Honda,Yellow
CA,0UVH668,,MAZDA6,Mazda,Gray
CA,0V EI053,2009,,Toyota,White
CA,0V N5548,,,Honda,White
CA,0VE N54,,Cooper Clubman,MINI,Yellow
CA,0VG 460,,,Infiniti,Maroon
CA,0VKF 02,2008,TSX,Acura,Silver
CA,0WU D89,,,Chevrolet,Silver
CA,0X 4002Y,,,Lexus,Black
CA,0X RM461,2012,Prius,Toyota,Navy
CA,0Y 3V5QEB,2008,,Chevrolet,Yellow
CA,0Y H6515,,,Kia,Fuchsia
CA,0Y073,,Freestar,Ford,Silver
CA,0YP9099,,599,Ferrari,Maroon
CA,0Z 69466,,Silverado 2500HD,Chevrolet,Teal
CA,0Z824,,Mariner Hybrid,Mercury,Navy
CA,0ZC M38,,ION,Saturn,White
CA,1-37328S,,7 Series,BMW,Purple
CA,1-44350,1990,300-Class,Mercedes-Benz,Blue
CA,1-4989B,2008,,Ford,White
CA,1-77584,,Relay,Saturn,Yellow
CA,1-79298,2012,,Audi,Aqua
CA,1-90242C,2011,Golf,Volkswagen,Gray
CA,1-99155B,,,Jaguar,Silver
CA,1-F0304,2008,RAV4,Toyota,Aqua
CA,1-J2031,,,Ford,Aqua
CA,10-42328,2011,,Cadillac,Maroon
CA,102 7QS,,XL-7,Suzuki,Green
CA,102 RLS,,Express,Chevrolet,Green
CA,105 UNY,,Regal,Buick,White
CA,105-BKO,2012,,Chevrolet,Black
CA,108 COZ,1998,,Dodge,White
CA,10O•269,,,Acura,Silver
CA,10W 384,2013,,Cadillac,Black
CA,10Z N91,,K1500 1/2ton Sub 4WD,GMC,Black
CA,11-56943,,X5,BMW,Silver
CA,110 7JU,,,GMC,White
CA,110-YHC,2002,,Chrysler,Teal
CA,110W,2008,,Dodge,Green
CA,111-IVR,2006,,Honda,Green
CA,112 TFO,2005,Spectra,Kia,Green
CA,112DLN,,XL-7,Suzuki,White
CA,113 XIF,2008,,Chevrolet,Silver
CA,113-760,,,Kia,Teal
CA,114-JZEP,,Silverado 1500,Chevrolet,Fuchsia
CA,116 THS,,Titan,Nissan,Blue
CA,1175 RJ,,Equator,Suzuki,Teal
CA,118-AHO,2012,,Volkswagen,Purple
CA,119 AJ7,2012,,Ford,Blue
CA,11N 435,2012,M6,BMW,White
CA,12-2407Q,,Titan,Nissan,Navy
CA,12-50743,,XF,Jaguar,Teal
CA,12-M590,2008,,Ford,Gray
CA,120 3TL,,,Cadillac,Silver
CA,121 PKP,2012,,Nissan,Navy
CA,121RX,2010,,Toyota,Navy
CA,123-WRZ,,,GMC,Green
CA,1259 GK,2008,S4,Audi,Yellow
CA,126 HYX,2009,F-150,Ford,Lime
CA,127LEE,,Ram Pickup 1500,Dodge,Green
CA,129 2FP,2009,,Lincoln,Blue
CA,129-SKJ,2008,TSX,Acura,White
CA,1299 HR,2007,F-350 Super Duty,Ford,Navy
CA,12KY1,2006,,Mazda,Purple
CA,12TR5,,Tucson,Hyundai,Black
CA,12V•748,1990,,Mercedes-Benz,Purple
CA,12X AI1,,,BMW,Yellow
CA,130 SBH,,RAM 150,Dodge,Gray
CA,131 UTL,2012,,Buick,Blue
CA,132KM,2011,,Toyota,Fuchsia
CA,133-KKN,2011,TSX,Acura,Fuchsia
CA,135J,2007,Colorado,Chevrolet,Purple
CA,138 IHD,2009,Civic,Honda,Silver
CA,138 ILG,2008,Sebring,Chrysler,Yellow
CA,138K,2011,RX-8,Mazda,White
CA,13F IP2,2011,,GMC,Green
CA,13O WU5,,,Saturn,Lime
CA,13ZS235,,,Chevrolet,Maroon
CA,14-3646P,2011,,Hyundai,Fuchsia
CA,140-FVW,,,Land Rover,Green
CA,140WFR,,,Chevrolet,White
CA,142-LHV,2000,Sierra 1500,GMC,Teal
CA,143 ANQ,,,BMW,Olive
CA,144Q,,,Chevrolet,Silver
CA,145 0CT,2007,F-350 Super Duty,Ford,Yellow
CA,146-XIY,2009,,Ford,Maroon
CA,147 6ZQ,2012,Silverado 3500HD,Chevrolet,Black
CA,147LXY,,,Toyota,Lime
CA,149 LBW,,tC,Scion,Fuchsia
CA,149-LQUV,2007,,Ford,Green
CA,14G 798,2012,,Ram,Gray
CA,14QY687,2006,,Honda,Teal
CA,15-8141I,2006,Pathfinder,Nissan,Purple
CA,15-D286,,Monte Carlo,Chevrolet,Black
CA,151-FZFW,,,Chevrolet,Olive
CA,152 JSZ,2008,Ridgeline,Honda,Fuchsia
CA,153 JA7,2012,,Toyota,Fuchsia
CA,154 CAC,2010,Rio,Kia,Purple
CA,154 ZKK,,X5,BMW,Aqua
CA,155 5338,,,Ford,Gray
CA,155VQV,2006,,Chevrolet,Purple
CA,156D,2011,,Ford,Black
CA,156F4,,Highlander,Toyota,Navy
CA,156S,2008,CLK-Class,Mercedes-Benz,Aqua
CA,15L 8084,2009,,Honda,White
CA,15P 088,1996,Express,Chevrolet,Fuchsia
CA,15RD2,2011,Titan,Nissan,Aqua
CA,16-27616,2002,Excursion,Ford,Lime
CA,160 WQW,2007,,Saab,Fuchsia
CA,162 2DV,2002,Excursion,Ford,Yellow
CA,163-JBKG,,,GMC,Teal
CA,163-OYO,2009,Optima,Kia,Yellow
CA,164 1UG,,,Chevrolet,Purple
